chunk_uuid,content,timestamp,duration
94a96fbc-7549-476b-a221-f26ef979558b,"### Nội dung Slide

*   **Giới thiệu môn học**
*   Lịch sử hình thành và thành tựu AI
*   **Ôn tập nền tảng toán học**
    *   **Đại số tuyến tính**
    *   **Giải tích**
*   TS. Nguyễn Vinh Tiếp
*   Giảng viên Khoa Khoa học Máy tính
*   Thực hiện bởi Trường Đại học Công nghệ Thông tin, ĐHQG-HCM

### Lời giảng của Giảng viên

Chào mừng các bạn đã quay trở lại. Hôm nay, chúng ta sẽ bắt đầu **ôn tập nền tảng toán học**. Như đã đề cập trước đó, **đại số tuyến tính** và **giải tích** là hai nền tảng toán học rất quan trọng và liên quan trực tiếp đến môn học này.

Đầu tiên, chúng ta sẽ đặt câu hỏi: Tại sao chúng ta cần kiến thức về **đại số tuyến tính**? Công dụng đầu tiên của nó chính là dùng để **biểu diễn dữ liệu**. Như chúng ta đã biết, trong lĩnh vực **học máy**...",0,20
027c3dc2-4e9d-498b-8584-953a14f95435,"### Nội dung Slide

1.  **Giới thiệu môn học**
2.  Lịch sử hình thành và thành tựu **AI**
3.  **Ôn tập nền tảng toán học**
    *   **Đại số tuyến tính**
    *   **Giải tích**
    *   Giảng viên: TS. Nguyễn Vinh Tiếp
    *   Khoa Khoa học Máy tính, Trường Đại học Công nghệ Thông tin, DHQG-HCM

### Lời giảng của Giảng viên

""Thì như đã đề cập trước đây, **đại số tuyến tính** và **giải tích** là hai nền tảng toán học rất quan trọng, liên quan trực tiếp đến môn học này. Đầu tiên, chúng ta sẽ đặt câu hỏi: tại sao chúng ta cần có kiến thức về **đại số tuyến tính**?

Công dụng đầu tiên của nó chính là dùng để **biểu diễn dữ liệu**. Như chúng ta đã biết, trong lĩnh vực học máy, thành phần đầu tiên và cốt lõi chính là dữ liệu. Để dữ liệu này có khả năng tính toán được, chúng ta phải sử dụng các công cụ của **đại số**. Ở đây, từ thấp lên cao, chúng ta sẽ có các khái niệm:

*   **Tensor 0 chiều** (tên gọi khác là **scalar**)
*   **Tensor 1 chiều** (tên gọi khác là **vector**)
*   **Tensor 2 chiều** (tên gọi khác là **ma trận**)
*   **Tensor nhiều chiều**

Các khái niệm **scalar**, **vector**, **ma trận**, và **tensor nhiều chiều** này sẽ được sử dụng để biểu diễn cho những loại dữ liệu khác nhau. Chi tiết chúng ta sẽ cùng thảo luận trong các slide tiếp theo.

Một công dụng khác đó chính là dùng để **biến đổi dữ liệu**. Sau khi đã biểu diễn dữ liệu, chúng ta sẽ biến đổi nó thành những dữ liệu phái sinh, hay còn gọi là **đặc trưng**.""",20,20
e2a694b1-9e22-4442-b10e-f0abe5af1260,"### Nội dung Slide

*   **Tại sao cần Đại số tuyến tính?**
    *   **Biểu diễn dữ liệu** bằng các khái niệm **tensor**:
        *   Tensor 0 chiều – **Scalar**
        *   Tensor 1 chiều – **Vector**
        *   Tensor 2 chiều – **Ma trận**
        *   Tensor nhiều chiều
    *   **Biến đổi dữ liệu** bằng các phép toán trên tensor

### Lời giảng của Giảng viên

Công dụng đầu tiên của đại số tuyến tính là để **biểu diễn dữ liệu**. Trong lĩnh vực **máy học**, dữ liệu là thành phần cốt lõi. Để dữ liệu có thể tính toán được, chúng ta cần sử dụng các công cụ của đại số.

Từ cấp thấp đến cao, chúng ta có các khái niệm:
1.  **Tensor 0 chiều**, còn gọi là **scalar**.
2.  **Tensor 1 chiều**, còn gọi là **vector**.
3.  **Tensor 2 chiều**, còn gọi là **ma trận**.
4.  **Tensor nhiều chiều**.

Các khái niệm **scalar**, **vector**, **ma trận** và **tensor nhiều chiều** này sẽ được sử dụng để biểu diễn cho các loại dữ liệu khác nhau. Chi tiết chúng ta sẽ thảo luận ở các slide tiếp theo.

Một công dụng quan trọng khác là dùng để **biến đổi dữ liệu**. Sau khi biểu diễn, chúng ta sẽ biến đổi dữ liệu đó thành các dữ liệu phái sinh, hay còn gọi là **đặc trưng**.

Các **đặc trưng** này sẽ giúp các mô hình **máy học** hiểu dữ liệu ở nhiều khía cạnh khác nhau, từ đó phục vụ cho các mục đích của bài toán, ví dụ như phân lớp hay chuyển đổi dữ liệu từ dạng này sang dạng khác.

Đầu tiên, chúng ta sẽ tìm hiểu về khái niệm **scalar**, hay **tensor không chiều**. Bản chất của các giá trị **scalar** chính là các số nguyên hoặc số thực. Trong biểu diễn toán học, **scalar** thường được ký hiệu bởi một ký tự viết bình thường.",40,60
a0712011-5d07-4c30-a5ac-1f207ac6c1ae,"### Nội dung Slide

Tại sao cần **Đại số tuyến tính**?

*   Biểu diễn dữ liệu dưới dạng **Tensor**:
    *   **Tensor 0 chiều** – **Scalar**
    *   **Tensor 1 chiều** – **Vector**
    *   **Tensor 2 chiều** – **Ma trận**
    *   **Tensor nhiều chiều**
*   Biến đổi dữ liệu bằng các phép toán trên **Tensor**

---
*Thực hiện bởi Trường Đại học Công nghệ Thông tin, DHQG-HCM*

### Lời giảng của Giảng viên

Sau khi đã biểu diễn dữ liệu, chúng ta sẽ tiến hành **biến đổi** nó thành các **dữ liệu phái sinh**, hay còn gọi là **đặc trưng**. Các đặc trưng này sẽ giúp các mô hình máy học hiểu dữ liệu ở nhiều khía cạnh khác nhau, từ đó phục vụ cho các mục đích của bài toán, ví dụ như **phân lớp** hoặc **chuyển đổi dữ liệu** từ dạng này sang dạng khác.

Bây giờ, chúng ta sẽ cùng tìm hiểu về khái niệm **Scalar**, hay còn gọi là **Tensor không chiều**. Về bản chất, **Scalar** là một giá trị **vô hướng**, là một **số thực**. Trong ký hiệu toán học, **Scalar** thường được biểu diễn bằng một ký tự viết thông thường. Nó thường được sử dụng để biểu diễn các đại lượng không có hướng, ví dụ như **tốc độ** (thể hiện sự nhanh chậm), **khối lượng** (thể hiện sự nặng nhẹ), hoặc **chiều dài** (thể hiện sự ngắn dài).",100,40
f1240c2e-25e5-42ae-9b5b-7c7f4d91aea9,"### Nội dung Slide

*   **Scalar** - Định nghĩa
    *   Ký hiệu: \( a \in \mathbb{R} \) là một **scalar** (vô hướng, số chiều bằng 0) chứa duy nhất một số thực.
    *   Được dùng để biểu diễn các đại lượng vô hướng như **tốc độ**, **khối lượng**, **chiều dài**.
    *   Các tên gọi khác ít phổ biến: **tensor không chiều** (0-dimensional tensor, 0D tensor).
    *   Trong thư viện **NumPy** hoặc **Python**, các thuộc tính **`ndim`** và **`shape`** giúp kiểm tra xem một biến có phải là scalar hay không.

### Lời giảng của Giảng viên

Như chúng ta đã tìm hiểu, **scalar** hay **tensor không chiều** được biểu diễn bởi một ký tự viết bình thường trong toán học. **Scalar** thường được sử dụng để biểu diễn các đại lượng **vô hướng**, tức là không có hướng. Ví dụ như **tốc độ** (thể hiện sự nhanh chậm), **khối lượng** (thể hiện sự nặng nhẹ), hoặc **chiều dài** (thể hiện chiều dài ngắn dài).

Các tên gọi khác ít phổ biến cho **tensor không chiều** hoặc **scalar** là **""scalar tensor""**, **""0-dimensional tensor""**, hay **""0D tensor""**. Những tên gọi này ít gặp hơn.

Trong thư viện **NumPy** hoặc **Python**, chúng ta có hai thuộc tính rất quan trọng là **`ndim`** (số chiều) và **`shape`** (hình dạng). Dựa vào **`ndim`** và **`shape`**, chúng ta có thể kiểm tra xem biến của mình có phải là **scalar** hay không.",140,20
114f40cf-f0fa-4b60-87a0-f12c101e0b31,"### Nội dung Slide

*   **Scaler** - Định nghĩa
    *   Ký hiệu: \( a \in \mathbb{R} \) là một **scaler** vô hướng (số chiều bằng 0) chứa duy nhất một số thực.
    *   **Scaler** được dùng để biểu diễn các đại lượng vô hướng như: **tốc độ**, **khối lượng**, **chiều dài**.
    *   Các cách gọi khác: **scalar tensor**, **0-dimensional tensor**, **0D tensor**.

*   Trong **NumPy**, các tensor có 2 thông số quan trọng là **`ndim`** và **`shape`**:
    *   **`ndim`**: Số chiều của tensor.
    *   **`shape`**: Kích thước của tensor theo từng chiều.

### Lời giảng của Giảng viên

Như chúng ta đã biểu diễn dưới dạng ký hiệu toán học, **scalar** được biểu diễn bằng một ký tự viết bình thường. **Scalar** thường được sử dụng để biểu diễn các đại lượng vô hướng, tức là không có hướng. Ví dụ như **tốc độ** thể hiện sự nhanh chậm, **khối lượng** thể hiện sự nặng nhẹ, **chiều dài** thể hiện sự ngắn dài.

Ngoài ra, các tên gọi khác ít phổ biến hơn của **tensor không chiều** hay **scalar** là **scalar tensor**, **0-dimensional tensor**, hay **0D tensor**.

Trong thư viện **NumPy** hoặc **Python**, chúng ta có hai thuộc tính rất quan trọng để kiểm tra các đối tượng tensor: **`ndim`** và **`shape`**. Dựa vào **`ndim`** và **`shape`**, chúng ta có thể kiểm tra xem biến của mình có phải là kiểu **scalar** hay không.

Ví dụ, khi chúng ta khởi tạo một biến `x` là một **NumPy array** có giá trị là 12:
`x = np.array(12)`
Thì `x.ndim` sẽ có giá trị là 0, và `x.shape` sẽ có giá trị là một tuple rỗng `()`. Đó là cách để chúng ta kiểm tra một giá trị **scalar**.",160,40
52661897-813b-48d5-b7ee-2569bdfa00c4,"### Nội dung Slide

*   **Scalar - Định nghĩa**
    *   Ký hiệu: \( a \in \mathbb{R} \) là một **scalar** vô hướng (có 0 chiều) chứa duy nhất một số thực.
    *   Scalar được dùng để biểu diễn các đại lượng như tốc độ, khối lượng, chiều dài.
    *   Các tên gọi khác: **scalar tensor**, **0-dimensional tensor**, **0D tensor**.
    *   Trong NumPy, các tensor có 2 thông số quan trọng là **`ndim`** (số chiều) và **`shape`** (hình dạng):
        *   **`ndim`**: Số chiều của tensor.
        *   **`shape`**: Kích thước của tensor theo từng chiều.

### Lời giảng của Giảng viên

Chào mừng các bạn quay trở lại với bài giảng. Ở phần trước, chúng ta đã tìm hiểu về khái niệm **scalar**, đó là một giá trị vô hướng, chỉ chứa duy nhất một số thực. Scalar thường được dùng để biểu diễn các đại lượng như tốc độ, khối lượng hay chiều dài.

Một số tên gọi khác của scalar mà các bạn có thể gặp là **scalar tensor**, **0-dimensional tensor** hay **0D tensor**. Tuy nhiên, các tên gọi này ít phổ biến hơn.

Trong thư viện NumPy của Python, có hai thuộc tính rất quan trọng giúp chúng ta kiểm tra xem một biến có phải là scalar hay không: đó là **`ndim`** và **`shape`**.

*   **`ndim`** là viết tắt của ""number of dimensions"", tức là số chiều của tensor.
*   **`shape`** là một tuple biểu diễn kích thước của tensor theo từng chiều.

Để xác định một biến có phải là scalar hay không, chúng ta sẽ kiểm tra xem **`ndim`** của nó có bằng 0 hay không, hoặc **`shape`** của nó có rỗng hay không.

Tiếp theo, chúng ta sẽ chuyển sang khái niệm **vector**, hay còn gọi là **tensor một chiều**.",200,20
c0ee03b8-b57d-453c-9bbf-ffa1f056b418,"### Nội dung Slide

*   **Scaler - Định nghĩa**
    *   Ký hiệu: \( a \in \mathbb{R} \) là một **scalar** vô hướng (số chiều bằng 0) chứa duy nhất một số thực.
    *   Scalar được dùng để biểu diễn các đại lượng như: tốc độ, khối lượng, chiều dài.
    *   Các tên gọi khác: **scalar tensor**, **0-dimensional tensor**, **0D tensor**.
    *   Trong Numpy, các tensor có 2 thông số quan trọng là `ndim` (số chiều) và `shape` (hình dạng):
        ```python
        import numpy as np

        x = np.array([12])
        print('x = ', x)
        print('x.ndim = ', x.ndim)
        print('x.shape = ', x.shape)
        ```
        *   Kết quả:
            ```
            x = [12]
            x.ndim = 1
            x.shape = (1,)
            ```
        *   *Lưu ý: Cần sửa lại ví dụ code để minh họa đúng scalar (0D tensor)*
        ```python
        x = np.array(12) # Khởi tạo scalar trực tiếp
        print('x = ', x)
        print('x.ndim = ', x.ndim)
        print('x.shape = ', x.shape)
        ```
        *   Kết quả đúng cho scalar:
            ```
            x = 12
            x.ndim = 0
            x.shape = ()
            ```

### Lời giảng của Giảng viên

Tiếp nối phần trước, chúng ta đã tìm hiểu về **scalar**. Để kiểm tra xem một biến có phải là **scalar** hay không, chúng ta có thể xem xét hai thuộc tính quan trọng của tensor trong thư viện Numpy: `ndim` (số chiều) và `shape` (hình dạng).

Nếu chúng ta khởi tạo một biến `x` bằng `np.array(12)` (lưu ý là không có dấu ngoặc vuông bên trong `np.array`), thì `x.ndim` sẽ có giá trị là `0`, và `x.shape` sẽ là một tuple rỗng `()`. Đây chính là đặc điểm nhận dạng một **scalar**.

Để xác định một giá trị là **scalar**, chúng ta sẽ kiểm tra xem `ndim` có bằng `0` hay không, hoặc `shape` có rỗng hay không.

Tiếp theo, chúng ta sẽ đi vào khái niệm **vector**, hay còn gọi là **tensor một chiều**. Chúng ta sẽ xét một ví dụ minh họa với thông tin về các căn nhà trong một khu phố.",220,20
42c9cd83-9bf7-4d32-b2b4-683b15a93bd2,"### Nội dung Slide

*   **Vector - Tensor 1 chiều**
*   Là một tập hợp thông tin, ví dụ như các thông tin về các nhà trong một khu phố.
*   Thông tin bao gồm: Diện tích (m²), Số phòng ngủ, Giá (K$).

| Diện tích (m²) | Số phòng ngủ | Giá (K$) |
| :-----------: | :----------: | :------: |
|     2104      |      3       |   400    |
|     1600      |      3       |   330    |
|     2400      |      3       |   369    |
|     1416      |      2       |   232    |

### Lời giảng của Giảng viên

Tiếp theo, chúng ta sẽ tìm hiểu về **vector**, hay còn gọi là **tensor 1 chiều**. Hãy xét một ví dụ với bảng dữ liệu về thông tin các nhà trong một khu phố, bao gồm diện tích, số phòng ngủ và giá.

Khi chúng ta lấy ra một dòng dữ liệu, ví dụ như thông tin của căn nhà thứ ba: diện tích 2400 m², 3 phòng ngủ và giá 369K$, thì các thông tin này sẽ hợp thành một **vector**. Vector này đại diện cho căn nhà đó.

Cụ thể, căn nhà thứ ba sẽ được biểu diễn bởi một **vector 3 chiều** với các giá trị (2400, 3, 369).

Về ký hiệu, khác với **scalar** (viết thường, không tô đậm), **vector** sẽ được ký hiệu bằng chữ cái viết thường và **tô đậm**.",240,20
9ec39ff1-b535-4daa-90a4-2421b9d67d52,"### Nội dung Slide

*   **Vector – Tensor 1 chiều**
*   Tập hợp thông tin các nhà trong một khu phố:
    | Diện tích (m²) | Số phòng ngủ | Giá (K$) |
    | -------------- | -------------- | ---------- |
    | 2104         | 3            | 400      |
    | 1600         | 3            | 330      |
    | 2400         | 3            | 369      |
    | 1416         | 2            | 232      |
*   Một **vector** có thể biểu diễn thông tin của một căn nhà, ví dụ: (2400, 3, 369) cho căn nhà thứ ba.
    *   Giá trị đầu tiên: Diện tích (m²)
    *   Giá trị thứ hai: Số phòng ngủ
    *   Giá trị thứ ba: Giá (K$)

### Lời giảng của Giảng viên

Như chúng ta vừa thấy, các thông tin của một dòng dữ liệu sẽ tạo thành một **vector**. Vector này đại diện cho một căn nhà cụ thể.

Để biểu diễn cho căn nhà thứ ba, chúng ta sẽ dùng một **vector 3 chiều** với các giá trị là (2400, 3, 369). Các giá trị này tương ứng lần lượt là diện tích, số phòng ngủ và giá của căn nhà đó.

Về ký hiệu, khác với **scalar** (chỉ là một giá trị đơn lẻ, viết thường và không in đậm), **vector** sẽ được ký hiệu bằng chữ viết thường và **in đậm** (ví dụ: **x**). Số chiều của vector, ký hiệu là \(n\), chính là số lượng phần tử trong vector đó. Vector thường bao gồm một tập hợp các giá trị **scalar**. Như trong ví dụ, vector **x** gồm \(n\) giá trị, mỗi giá trị là một **scalar**. Về mặt biểu diễn, vector thường được thể hiện dưới dạng cột.",260,40
